"Registration Number","Name","Father's Name","Mother's Name","Course Name","Semester","SGPA","Curr. GPA","Subject Code","Total Marks"
17102110032,"Student1","Father1","Mother1","B.E.",7,7.8,1.7,"SUB1",18
17102110033,"Student2","Father2","Mother2","B.Tech.",8,8.7,1.1,"SUB2",17
17102110034,"Student3","Father3","Mother3","B.E.",2,0.1,1.5,"SUB3",63
17102110035,"Student4","Father4","Mother4","B.Tech.",1,1,1.4,"SUB4",22
17102110036,"Student5","Father5","Mother5","B.Tech.",3,5.3,2.8,"SUB5",46
17102110037,"Student6","Father6","Mother6","B.Tech.",1,4.5,2.8,"SUB6",52
17102110038,"Student7","Father7","Mother7","B.Tech.",8,6.9,0.2,"SUB7",31
17102110039,"Student8","Father8","Mother8","B.Tech.",4,9.4,8.9,"SUB8",6
17102110040,"Student9","Father9","Mother9","B.E.",3,2.5,1.1,"SUB9",33
17102110041,"Student10","Father10","Mother10","B.E.",1,7.9,1,"SUB10",75
17102110042,"Student11","Father11","Mother11","B.E.",1,4,3.4,"SUB11",100
17102110043,"Student12","Father12","Mother12","B.Tech.",2,8.4,1.7,"SUB12",76
17102110044,"Student13","Father13","Mother13","B.E.",8,0.8,7.7,"SUB13",63
17102110045,"Student14","Father14","Mother14","B.E.",4,8.6,7.1,"SUB14",60
17102110046,"Student15","Father15","Mother15","B.Tech.",7,1.7,8.4,"SUB15",19
17102110047,"Student16","Father16","Mother16","B.Tech.",3,9.9,2,"SUB16",59
17102110048,"Student17","Father17","Mother17","B.E.",4,7.2,3.1,"SUB17",77
17102110049,"Student18","Father18","Mother18","B.Tech.",2,3,3,"SUB18",97
17102110050,"Student19","Father19","Mother19","B.Tech.",7,1.7,5.3,"SUB19",92
17102110051,"Student20","Father20","Mother20","B.Tech.",5,9,7,"SUB20",53
17102110052,"Student21","Father21","Mother21","B.Tech.",1,6.4,5.6,"SUB21",57
17102110053,"Student22","Father22","Mother22","B.Tech.",7,4.8,9.2,"SUB22",75
17102110054,"Student23","Father23","Mother23","B.Tech.",4,7.1,0.2,"SUB23",28
17102110055,"Student24","Father24","Mother24","B.E.",1,7.7,5.7,"SUB24",36
17102110056,"Student25","Father25","Mother25","B.Tech.",3,3.6,9.1,"SUB25",56
17102110057,"Student26","Father26","Mother26","B.Tech.",3,2.5,5.5,"SUB26",60
17102110058,"Student27","Father27","Mother27","B.Tech.",1,8.4,0.1,"SUB27",17
17102110059,"Student28","Father28","Mother28","B.E.",1,0.3,5.8,"SUB28",53
17102110060,"Student29","Father29","Mother29","B.Tech.",6,4.2,4.8,"SUB29",89
17102110061,"Student30","Father30","Mother30","B.Tech.",7,9.2,2.5,"SUB30",95
17102110062,"Student31","Father31","Mother31","B.Tech.",8,6.7,6.9,"SUB31",62
17102110063,"Student32","Father32","Mother32","B.Tech.",6,5.6,9.2,"SUB32",55
17102110064,"Student33","Father33","Mother33","B.E.",8,7.4,10,"SUB33",29
17102110065,"Student34","Father34","Mother34","B.E.",3,0.3,9.8,"SUB34",30
17102110066,"Student35","Father35","Mother35","B.E.",3,8.2,0.7,"SUB35",4
17102110067,"Student36","Father36","Mother36","B.Tech.",1,3.4,3.5,"SUB36",28
17102110068,"Student37","Father37","Mother37","B.Tech.",4,6,7.8,"SUB37",97
17102110069,"Student38","Father38","Mother38","B.E.",8,2.6,4.3,"SUB38",45
17102110070,"Student39","Father39","Mother39","B.Tech.",7,3.3,9,"SUB39",47
17102110071,"Student40","Father40","Mother40","B.Tech.",2,6.3,3,"SUB40",74
17102110072,"Student41","Father41","Mother41","B.Tech.",1,3.5,8,"SUB41",99
17102110073,"Student42","Father42","Mother42","B.E.",7,3,2.4,"SUB42",26
17102110074,"Student43","Father43","Mother43","B.Tech.",2,3.3,7.7,"SUB43",21
17102110075,"Student44","Father44","Mother44","B.Tech.",3,7.3,3.2,"SUB44",31
17102110076,"Student45","Father45","Mother45","B.Tech.",3,2.1,3.5,"SUB45",12
17102110077,"Student46","Father46","Mother46","B.E.",8,1.2,3.1,"SUB46",2
17102110078,"Student47","Father47","Mother47","B.Tech.",2,3.2,0.4,"SUB47",53
17102110079,"Student48","Father48","Mother48","B.E.",7,6.2,1.7,"SUB48",51
17102110080,"Student49","Father49","Mother49","B.E.",5,7.5,7.2,"SUB49",64
17102110081,"Student50","Father50","Mother50","B.Tech.",3,6.8,7.6,"SUB50",17
